"","Model","PromptID","Balanced.Accuracy_CI_V-VI","Balanced.Accuracy_CI_I-II","Balanced.Accuracy_CI_III-IV","Sensitivity_CI_V-VI","Sensitivity_CI_I-II","Sensitivity_CI_III-IV","Specificity_CI_V-VI","Specificity_CI_I-II","Specificity_CI_III-IV"
"1","GPT-4 Vision","P1","0.47 (+/- 0.15)","0.92 (+/- 0.12)","0.53 (+/- 0.15)","0.15 (+/- 0.15)","1 (+/- 0)","0.17 (+/- 0.17)","0.8 (+/- 0.2)","0.83 (+/- 0.25)","0.89 (+/- 0.16)"
"2","GPT-4 Vision","P2","0.62 (+/- 0.1)","0.6 (+/- 0.14)","0.6 (+/- 0.1)","0.32 (+/- 0.19)","0.31 (+/- 0.24)","0.33 (+/- 0.19)","0.91 (+/- 0.07)","0.89 (+/- 0.1)","0.87 (+/- 0.09)"
"3","GPT-4 Vision","P3","0.53 (+/- 0.08)","0.62 (+/- 0.08)","0.61 (+/- 0.07)","0.54 (+/- 0.15)","0.69 (+/- 0.12)","0.65 (+/- 0.11)","0.52 (+/- 0.08)","0.55 (+/- 0.08)","0.58 (+/- 0.07)"
"4","GPT-4 Vision","P4","0.53 (+/- 0.08)","0.57 (+/- 0.08)","0.67 (+/- 0.06)","0.61 (+/- 0.14)","0.65 (+/- 0.14)","0.8 (+/- 0.1)","0.46 (+/- 0.08)","0.48 (+/- 0.08)","0.55 (+/- 0.08)"
"5","GPT-4 Vision","P5","0.52 (+/- 0.08)","0.59 (+/- 0.08)","0.64 (+/- 0.07)","0.56 (+/- 0.14)","0.63 (+/- 0.14)","0.7 (+/- 0.1)","0.49 (+/- 0.08)","0.55 (+/- 0.08)","0.57 (+/- 0.08)"
"6","GPT-4 Vision","P6","0.52 (+/- 0.08)","0.58 (+/- 0.08)","0.65 (+/- 0.07)","0.54 (+/- 0.13)","0.61 (+/- 0.14)","0.69 (+/- 0.12)","0.5 (+/- 0.08)","0.55 (+/- 0.08)","0.6 (+/- 0.08)"
"7","GPT-4 Vision","P7","0.53 (+/- 0.08)","0.58 (+/- 0.08)","0.63 (+/- 0.07)","0.54 (+/- 0.14)","0.59 (+/- 0.15)","0.7 (+/- 0.1)","0.51 (+/- 0.08)","0.57 (+/- 0.08)","0.56 (+/- 0.07)"
"8","GPT-4 Vision","P8","0.55 (+/- 0.09)","0.62 (+/- 0.08)","0.61 (+/- 0.06)","0.61 (+/- 0.16)","0.73 (+/- 0.13)","0.73 (+/- 0.1)","0.49 (+/- 0.08)","0.5 (+/- 0.08)","0.5 (+/- 0.07)"
"9","Gemini Pro Vision","P1","0.56 (+/- 0.06)","0.53 (+/- 0.04)","0.57 (+/- 0.05)","0.18 (+/- 0.12)","0.09 (+/- 0.07)","0.19 (+/- 0.09)","0.93 (+/- 0.05)","0.98 (+/- 0.03)","0.95 (+/- 0.04)"
"10","Gemini Pro Vision","P2","0.54 (+/- 0.06)","0.55 (+/- 0.05)","0.57 (+/- 0.05)","0.14 (+/- 0.09)","0.11 (+/- 0.09)","0.19 (+/- 0.09)","0.94 (+/- 0.05)","0.99 (+/- 0.02)","0.96 (+/- 0.03)"
"11","Gemini Pro Vision","P3","0.53 (+/- 0.06)","0.56 (+/- 0.05)","0.58 (+/- 0.05)","0.15 (+/- 0.1)","0.17 (+/- 0.1)","0.25 (+/- 0.1)","0.9 (+/- 0.05)","0.96 (+/- 0.03)","0.92 (+/- 0.05)"
"12","Gemini Pro Vision","P4","0.51 (+/- 0.05)","0.56 (+/- 0.06)","0.59 (+/- 0.05)","0.13 (+/- 0.09)","0.18 (+/- 0.1)","0.25 (+/- 0.1)","0.88 (+/- 0.06)","0.94 (+/- 0.04)","0.93 (+/- 0.04)"
"13","Gemini Pro Vision","P5","0.5 (+/- 0.07)","0.57 (+/- 0.07)","0.59 (+/- 0.07)","0.22 (+/- 0.12)","0.29 (+/- 0.12)","0.36 (+/- 0.12)","0.78 (+/- 0.07)","0.86 (+/- 0.06)","0.82 (+/- 0.06)"
"14","Gemini Pro Vision","P6","0.51 (+/- 0.07)","0.6 (+/- 0.06)","0.63 (+/- 0.05)","0.24 (+/- 0.12)","0.29 (+/- 0.12)","0.35 (+/- 0.11)","0.78 (+/- 0.07)","0.91 (+/- 0.05)","0.92 (+/- 0.04)"
"15","Gemini Pro Vision","P7","0.54 (+/- 0.06)","0.55 (+/- 0.05)","0.62 (+/- 0.06)","0.24 (+/- 0.12)","0.16 (+/- 0.1)","0.32 (+/- 0.11)","0.85 (+/- 0.07)","0.94 (+/- 0.04)","0.91 (+/- 0.05)"
"16","Gemini Pro Vision","P8","0.51 (+/- 0.06)","0.57 (+/- 0.06)","0.61 (+/- 0.06)","0.19 (+/- 0.11)","0.2 (+/- 0.1)","0.3 (+/- 0.1)","0.83 (+/- 0.07)","0.94 (+/- 0.04)","0.93 (+/- 0.04)"
