"","Model","PromptID","Balanced.Accuracy_CI_dark","Balanced.Accuracy_CI_medium","Balanced.Accuracy_CI_light","Sensitivity_CI_dark","Sensitivity_CI_medium","Sensitivity_CI_light","Specificity_CI_dark","Specificity_CI_medium","Specificity_CI_light"
"1","GPT-4 Vision","P3","0.65 (+/- 0.2)","0.79 (+/- 0.13)","0.8 (+/- 0.14)","0.5 (+/- 0.32)","0.63 (+/- 0.23)","0.72 (+/- 0.19)","0.8 (+/- 0.23)","0.95 (+/- 0.12)","0.89 (+/- 0.17)"
"2","GPT-4 Vision","P4","0.65 (+/- 0.22)","0.76 (+/- 0.13)","0.8 (+/- 0.12)","0.5 (+/- 0.33)","0.58 (+/- 0.25)","0.72 (+/- 0.19)","0.8 (+/- 0.23)","0.94 (+/- 0.13)","0.88 (+/- 0.18)"
"3","GPT-4 Vision","P5","0.69 (+/- 0.19)","0.68 (+/- 0.1)","0.76 (+/- 0.13)","0.51 (+/- 0.34)","0.36 (+/- 0.21)","0.58 (+/- 0.23)","0.87 (+/- 0.2)","1 (+/- 0)","0.94 (+/- 0.14)"
"4","GPT-4 Vision","P6","0.6 (+/- 0.2)","0.79 (+/- 0.12)","0.78 (+/- 0.14)","0.4 (+/- 0.3)","0.58 (+/- 0.23)","0.62 (+/- 0.22)","0.8 (+/- 0.22)","1 (+/- 0)","0.94 (+/- 0.13)"
"5","GPT-4 Vision","P7","0.62 (+/- 0.18)","0.84 (+/- 0.12)","0.8 (+/- 0.13)","0.5 (+/- 0.34)","0.74 (+/- 0.21)","0.71 (+/- 0.19)","0.74 (+/- 0.24)","0.95 (+/- 0.12)","0.89 (+/- 0.16)"
"6","GPT-4 Vision","P8","0.58 (+/- 0.22)","0.76 (+/- 0.13)","0.75 (+/- 0.14)","0.5 (+/- 0.32)","0.64 (+/- 0.24)","0.67 (+/- 0.22)","0.66 (+/- 0.28)","0.89 (+/- 0.16)","0.83 (+/- 0.19)"
"7","Gemini Pro Vision","P1","0.82 (+/- 0.16)","0.84 (+/- 0.11)","0.8 (+/- 0.14)","0.71 (+/- 0.31)","0.68 (+/- 0.22)","0.71 (+/- 0.21)","0.93 (+/- 0.15)","1 (+/- 0)","0.88 (+/- 0.18)"
"8","Gemini Pro Vision","P2","0.68 (+/- 0.18)","0.87 (+/- 0.11)","0.83 (+/- 0.11)","0.49 (+/- 0.34)","0.74 (+/- 0.21)","0.67 (+/- 0.22)","0.87 (+/- 0.2)","1 (+/- 0)","1 (+/- 0)"
"9","Gemini Pro Vision","P3","0.65 (+/- 0.2)","0.79 (+/- 0.13)","0.8 (+/- 0.13)","0.5 (+/- 0.3)","0.63 (+/- 0.23)","0.72 (+/- 0.2)","0.81 (+/- 0.21)","0.94 (+/- 0.13)","0.89 (+/- 0.16)"
"10","Gemini Pro Vision","P4","0.65 (+/- 0.17)","0.77 (+/- 0.13)","0.8 (+/- 0.14)","0.5 (+/- 0.33)","0.58 (+/- 0.23)","0.71 (+/- 0.21)","0.8 (+/- 0.22)","0.95 (+/- 0.13)","0.88 (+/- 0.18)"
"11","Gemini Pro Vision","P5","0.68 (+/- 0.18)","0.68 (+/- 0.11)","0.75 (+/- 0.12)","0.5 (+/- 0.32)","0.37 (+/- 0.21)","0.57 (+/- 0.2)","0.87 (+/- 0.2)","1 (+/- 0)","0.94 (+/- 0.13)"
"12","Gemini Pro Vision","P6","0.6 (+/- 0.18)","0.79 (+/- 0.11)","0.78 (+/- 0.13)","0.4 (+/- 0.29)","0.59 (+/- 0.23)","0.62 (+/- 0.21)","0.8 (+/- 0.2)","1 (+/- 0)","0.94 (+/- 0.13)"
"13","Gemini Pro Vision","P7","0.62 (+/- 0.2)","0.84 (+/- 0.12)","0.79 (+/- 0.13)","0.51 (+/- 0.31)","0.74 (+/- 0.19)","0.71 (+/- 0.21)","0.73 (+/- 0.23)","0.95 (+/- 0.12)","0.88 (+/- 0.19)"
"14","Gemini Pro Vision","P8","0.59 (+/- 0.19)","0.76 (+/- 0.14)","0.75 (+/- 0.14)","0.5 (+/- 0.34)","0.63 (+/- 0.23)","0.67 (+/- 0.21)","0.67 (+/- 0.24)","0.89 (+/- 0.16)","0.83 (+/- 0.2)"
