"model","PromptID","Balanced.Accuracy_CI_Overall","Balanced.Accuracy_CI_44-70","Balanced.Accuracy_CI_70-96","Balanced.Accuracy_CI_18-44","Sensitivity_CI_Overall","Sensitivity_CI_44-70","Sensitivity_CI_70-96","Sensitivity_CI_18-44","Specificity_CI_Overall","Specificity_CI_44-70","Specificity_CI_70-96","Specificity_CI_18-44"
"GPT-4v with Vision",1,"0.5 (+/- 0)","0.5 (+/- 0)","0.5 (+/- 0)","NaN (+/- NA)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","NaN (+/- NA)"
"GPT-4v with Vision",2,"0.5 (+/- 0)","0.5 (+/- 0)","0.5 (+/- 0)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)"
"GPT-4v with Vision",3,"0.52 (+/- 0.02)","0.53 (+/- 0.03)","0.53 (+/- 0.03)","0.5 (+/- 0)","1 (+/- 0.01)","0.99 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","0.04 (+/- 0.03)","0.06 (+/- 0.06)","0.06 (+/- 0.06)","0 (+/- 0)"
"GPT-4v with Vision",4,"0.51 (+/- 0.01)","0.51 (+/- 0.01)","0.53 (+/- 0.03)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0.02 (+/- 0.02)","0.06 (+/- 0.06)","0 (+/- 0)"
"GPT-4v with Vision",5,"0.5 (+/- 0.01)","0.5 (+/- 0)","0.53 (+/- 0.03)","0.49 (+/- 0.02)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.99 (+/- 0.03)","0.01 (+/- 0.01)","0 (+/- 0)","0.06 (+/- 0.06)","0 (+/- 0)"
"GPT-4v with Vision",6,"0.51 (+/- 0.01)","0.52 (+/- 0.02)","0.5 (+/- 0)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0.04 (+/- 0.04)","0 (+/- 0)","0 (+/- 0)"
"GPT-4v with Vision",7,"0.51 (+/- 0.01)","0.51 (+/- 0.01)","0.53 (+/- 0.03)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0.02 (+/- 0.02)","0.06 (+/- 0.06)","0 (+/- 0)"
"GPT-4v with Vision",8,"0.51 (+/- 0.01)","0.51 (+/- 0.01)","0.53 (+/- 0.03)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0.02 (+/- 0.02)","0.06 (+/- 0.06)","0 (+/- 0)"
"Gemini Pro Vision",1,"0.59 (+/- 0.03)","0.59 (+/- 0.04)","0.58 (+/- 0.11)","0.56 (+/- 0.06)","0.24 (+/- 0.03)","0.23 (+/- 0.05)","0.29 (+/- 0.06)","0.18 (+/- 0.08)","0.94 (+/- 0.05)","0.96 (+/- 0.06)","0.87 (+/- 0.21)","0.95 (+/- 0.09)"
"Gemini Pro Vision",2,"0.57 (+/- 0.03)","0.58 (+/- 0.04)","0.53 (+/- 0.11)","0.55 (+/- 0.05)","0.21 (+/- 0.03)","0.2 (+/- 0.05)","0.24 (+/- 0.06)","0.13 (+/- 0.08)","0.94 (+/- 0.05)","0.96 (+/- 0.06)","0.81 (+/- 0.2)","0.97 (+/- 0.06)"
"Gemini Pro Vision",3,"0.75 (+/- 0.04)","0.72 (+/- 0.06)","0.71 (+/- 0.11)","0.75 (+/- 0.07)","0.67 (+/- 0.04)","0.63 (+/- 0.06)","0.74 (+/- 0.06)","0.57 (+/- 0.12)","0.83 (+/- 0.07)","0.8 (+/- 0.12)","0.69 (+/- 0.22)","0.92 (+/- 0.09)"
"Gemini Pro Vision",4,"0.69 (+/- 0.04)","0.69 (+/- 0.06)","0.64 (+/- 0.12)","0.66 (+/- 0.06)","0.49 (+/- 0.04)","0.49 (+/- 0.06)","0.52 (+/- 0.07)","0.35 (+/- 0.11)","0.9 (+/- 0.07)","0.88 (+/- 0.1)","0.75 (+/- 0.25)","0.97 (+/- 0.06)"
"Gemini Pro Vision",5,"0.65 (+/- 0.04)","0.63 (+/- 0.06)","0.6 (+/- 0.13)","0.65 (+/- 0.07)","0.41 (+/- 0.04)","0.38 (+/- 0.06)","0.46 (+/- 0.07)","0.36 (+/- 0.12)","0.89 (+/- 0.07)","0.88 (+/- 0.1)","0.75 (+/- 0.25)","0.95 (+/- 0.07)"
"Gemini Pro Vision",6,"0.61 (+/- 0.04)","0.6 (+/- 0.05)","0.56 (+/- 0.12)","0.61 (+/- 0.07)","0.34 (+/- 0.04)","0.32 (+/- 0.06)","0.38 (+/- 0.07)","0.27 (+/- 0.11)","0.89 (+/- 0.06)","0.88 (+/- 0.09)","0.74 (+/- 0.22)","0.95 (+/- 0.08)"
"Gemini Pro Vision",7,"0.67 (+/- 0.04)","0.64 (+/- 0.06)","0.63 (+/- 0.12)","0.68 (+/- 0.08)","0.52 (+/- 0.04)","0.49 (+/- 0.06)","0.58 (+/- 0.07)","0.43 (+/- 0.13)","0.82 (+/- 0.07)","0.78 (+/- 0.12)","0.68 (+/- 0.23)","0.92 (+/- 0.1)"
"Gemini Pro Vision",8,"0.62 (+/- 0.04)","0.61 (+/- 0.05)","0.57 (+/- 0.12)","0.61 (+/- 0.05)","0.34 (+/- 0.04)","0.33 (+/- 0.06)","0.38 (+/- 0.07)","0.25 (+/- 0.1)","0.9 (+/- 0.06)","0.88 (+/- 0.1)","0.75 (+/- 0.25)","0.97 (+/- 0.06)"
