"","Model","PromptID","Male","Female","unknown"
"1","GPT-4 Vision","P1",49,47,0
"2","GPT-4 Vision","P2",72,57,0
"3","GPT-4 Vision","P3",397,297,3
"4","GPT-4 Vision","P4",399,297,4
"5","GPT-4 Vision","P5",393,295,4
"6","GPT-4 Vision","P6",372,276,4
"7","GPT-4 Vision","P7",398,297,4
"8","GPT-4 Vision","P8",398,297,4
"9","Gemini Pro Vision","P1",399,297,4
"10","Gemini Pro Vision","P2",399,297,4
"11","Gemini Pro Vision","P3",399,297,4
"12","Gemini Pro Vision","P4",399,297,4
"13","Gemini Pro Vision","P5",399,297,4
"14","Gemini Pro Vision","P6",399,297,4
"15","Gemini Pro Vision","P7",399,297,4
"16","Gemini Pro Vision","P8",399,297,4
