"","Model","PromptID","White","Other","Asian","Black"
"1","GPT-4 Vision","P1",59,27,9,1
"2","GPT-4 Vision","P2",74,36,15,4
"3","GPT-4 Vision","P3",387,199,82,29
"4","GPT-4 Vision","P4",389,200,82,29
"5","GPT-4 Vision","P5",383,199,81,29
"6","GPT-4 Vision","P6",360,188,77,27
"7","GPT-4 Vision","P7",389,199,82,29
"8","GPT-4 Vision","P8",389,200,82,28
"9","Gemini Pro Vision","P1",389,200,82,29
"10","Gemini Pro Vision","P2",389,200,82,29
"11","Gemini Pro Vision","P3",389,200,82,29
"12","Gemini Pro Vision","P4",389,200,82,29
"13","Gemini Pro Vision","P5",389,200,82,29
"14","Gemini Pro Vision","P6",389,200,82,29
"15","Gemini Pro Vision","P7",389,200,82,29
"16","Gemini Pro Vision","P8",389,200,82,29
