"","Model","PromptID","Balanced.Accuracy_CI_Male","Balanced.Accuracy_CI_Female","Balanced.Accuracy_CI_unknown","Sensitivity_CI_Male","Sensitivity_CI_Female","Sensitivity_CI_unknown","Specificity_CI_Male","Specificity_CI_Female","Specificity_CI_unknown"
"1","GPT-4 Vision","P3","0.51 (+/- 0.01)","0.53 (+/- 0.04)","NaN (+/- NA)","1 (+/- 0.01)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0.07 (+/- 0.07)","NaN (+/- NA)"
"2","GPT-4 Vision","P4","0.51 (+/- 0.01)","0.51 (+/- 0.02)","NaN (+/- NA)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0.03 (+/- 0.03)","NaN (+/- NA)"
"3","GPT-4 Vision","P5","0.51 (+/- 0.01)","0.5 (+/- 0)","NaN (+/- NA)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0 (+/- 0)","NaN (+/- NA)"
"4","GPT-4 Vision","P6","0.51 (+/- 0.01)","0.51 (+/- 0.01)","NaN (+/- NA)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0.02 (+/- 0.02)","NaN (+/- NA)"
"5","GPT-4 Vision","P7","0.51 (+/- 0.01)","0.51 (+/- 0.01)","NaN (+/- NA)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.01 (+/- 0.01)","0.03 (+/- 0.03)","NaN (+/- NA)"
"6","GPT-4 Vision","P8","0.51 (+/- 0.01)","0.51 (+/- 0.02)","NaN (+/- NA)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0.02 (+/- 0.02)","NaN (+/- NA)"
"7","Gemini Pro Vision","P1","0.61 (+/- 0.03)","0.58 (+/- 0.06)","NaN (+/- NA)","0.23 (+/- 0.05)","0.28 (+/- 0.05)","0 (+/- 0)","0.99 (+/- 0.03)","0.87 (+/- 0.11)","NaN (+/- NA)"
"8","Gemini Pro Vision","P2","0.58 (+/- 0.03)","0.56 (+/- 0.06)","NaN (+/- NA)","0.17 (+/- 0.04)","0.25 (+/- 0.06)","0 (+/- 0)","0.98 (+/- 0.03)","0.88 (+/- 0.11)","NaN (+/- NA)"
"9","Gemini Pro Vision","P3","0.75 (+/- 0.05)","0.75 (+/- 0.07)","NaN (+/- NA)","0.66 (+/- 0.05)","0.68 (+/- 0.06)","0.32 (+/- 0.32)","0.84 (+/- 0.09)","0.82 (+/- 0.12)","NaN (+/- NA)"
"10","Gemini Pro Vision","P4","0.68 (+/- 0.05)","0.7 (+/- 0.06)","NaN (+/- NA)","0.45 (+/- 0.06)","0.53 (+/- 0.07)","0.33 (+/- 0.33)","0.91 (+/- 0.08)","0.87 (+/- 0.12)","NaN (+/- NA)"
"11","Gemini Pro Vision","P5","0.64 (+/- 0.05)","0.66 (+/- 0.06)","NaN (+/- NA)","0.39 (+/- 0.06)","0.44 (+/- 0.06)","0 (+/- 0)","0.9 (+/- 0.08)","0.87 (+/- 0.11)","NaN (+/- NA)"
"12","Gemini Pro Vision","P6","0.62 (+/- 0.04)","0.6 (+/- 0.07)","NaN (+/- NA)","0.31 (+/- 0.05)","0.37 (+/- 0.07)","0 (+/- 0)","0.93 (+/- 0.07)","0.83 (+/- 0.13)","NaN (+/- NA)"
"13","Gemini Pro Vision","P7","0.67 (+/- 0.05)","0.67 (+/- 0.07)","NaN (+/- NA)","0.5 (+/- 0.06)","0.55 (+/- 0.06)","0 (+/- 0)","0.84 (+/- 0.09)","0.8 (+/- 0.12)","NaN (+/- NA)"
"14","Gemini Pro Vision","P8","0.62 (+/- 0.04)","0.63 (+/- 0.06)","NaN (+/- NA)","0.32 (+/- 0.05)","0.38 (+/- 0.07)","0 (+/- 0)","0.91 (+/- 0.07)","0.88 (+/- 0.11)","NaN (+/- NA)"
